Annex1,1374926400000,17,17,15,16,15,15,15,15,16,15,15,15,15,15,16,15,15,16,16,15,14,12,12,12,12,12,12,12,10,11,12,12,12,14,15,16,17,18,18,18,18,18,17,17,18,19,19,19,21,21,20,20,21,22,22,20,19,19,19,16
Conf1,1374908400000,0,0,0,2,4,8,13,16,18,22,21,19,19,19,19,18,19,19,21,20,20,20,22,22,22,22,21,22,23,22,22,20,19,20,19,18,19,19,18,15,14,14,12,13,12,12,12,12,12,11,11,10,10,9,9,11,13,13,12,12
Conf2,1374915600000,12,12,14,13,10,8,9,9,12,13,13,13,11,12,12,14,14,14,15,14,15,15,15,14,14,14,13,14,13,12,13,12,12,13,12,12,12,12,12,11,10,9,11,14,13,12,11,11,10,12,14,15,16,16,17,18,18,18,20,21
Cafetaria,1374930000000,10,10,11,14,14,14,14,14,13,12,14,13,13,13,13,12,12,12,13,16,16,17,17,19,18,18,20,23,22,20,20,18,17,16,16,15,16,18,19,19,19,19,15,15,15,15,16,16,16,16,16,14,14,14,14,16,16,16,15,15
Conf1,1374930000000,16,17,17,18,17,17,17,18,17,16,16,16,13,13,12,12,13,14,16,16,14,14,13,13,15,15,15,16,16,16,16,16,16,16,15,16,17,15,16,16,16,16,17,16,16,16,14,15,16,17,15,16,16,15,15,16,16,16,16,17
Conf2,1374930000000,12,11,13,13,13,14,14,13,13,15,15,14,14,13,13,13,16,16,16,16,17,17,17,19,17,17,17,18,18,18,20,20,20,19,19,20,20,20,20,19,20,19,19,19,18,18,18,19,19,19,19,19,19,19,19,19,17,19,19,18
Hall,1374919200000,13,12,13,12,11,14,13,14,13,14,15,14,14,16,16,16,16,17,19,19,19,17,19,21,21,23,24,23,24,24,24,23,22,22,21,21,21,22,21,20,19,18,17,19,18,18,19,20,20,20,21,22,21,21,21,21,22,22,18,19
Conf2,1374937200000,17,17,19,19,18,17,15,15,16,16,16,15,15,13,13,13,11,11,10,9,9,9,9,9,9,8,7,6,6,5,4,4,4,4,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hall,1374926400000,17,17,12,12,13,14,15,15,16,16,16,15,15,12,11,10,11,12,10,12,12,10,10,10,15,13,12,11,8,9,8,9,8,8,7,8,8,10,10,12,12,13,15,15,16,16,16,15,14,14,14,15,17,17,17,17,15,16,15,14
Lounge,1374908400000,0,0,0,3,4,5,7,9,12,15,15,15,15,15,16,16,15,15,15,15,14,13,13,13,13,13,11,11,10,10,11,11,12,11,11,11,12,11,12,13,13,14,14,15,14,14,14,13,12,12,10,9,9,8,10,11,13,12,11,10
